,exp_step,wall_time,name,step,value
56,exp9_step1_finetune_2024-07-30-12-39,1722343382.2549338,train_loss,27,0.0006656608311459422
57,exp9_step1_finetune_2024-07-30-12-39,1722343382.2549767,train_acc,27,0.6323529481887817
58,exp9_step1_finetune_2024-07-30-12-39,1722343388.2468784,train_loss,28,0.0005257545271888375
59,exp9_step1_finetune_2024-07-30-12-39,1722343388.246919,train_acc,28,0.6001400351524353
60,exp9_step1_finetune_2024-07-30-12-39,1722343394.210914,train_loss,29,0.0005929171456955373
61,exp9_step1_finetune_2024-07-30-12-39,1722343394.2109554,train_acc,29,0.646218478679657
62,exp9_step1_finetune_2024-07-30-12-39,1722343400.2110474,train_loss,30,0.0006027955678291619
63,exp9_step1_finetune_2024-07-30-12-39,1722343400.2110891,train_acc,30,0.6870447993278503
64,exp9_step1_finetune_2024-07-30-12-39,1722343406.2076094,train_loss,31,0.00046185837709344923
65,exp9_step1_finetune_2024-07-30-12-39,1722343406.20765,train_acc,31,0.7011204361915588
66,exp9_step1_finetune_2024-07-30-12-39,1722343412.2848542,train_loss,32,0.0005877839867025614
67,exp9_step1_finetune_2024-07-30-12-39,1722343412.284911,train_acc,32,0.7351540327072144
68,exp9_step1_finetune_2024-07-30-12-39,1722343418.2301593,train_loss,33,0.0007395733846351504
69,exp9_step1_finetune_2024-07-30-12-39,1722343418.2302,train_acc,33,0.6208683252334595
70,exp9_step1_finetune_2024-07-30-12-39,1722343424.2094657,train_loss,34,0.0005178075516596437
71,exp9_step1_finetune_2024-07-30-12-39,1722343424.2095094,train_acc,34,0.748039186000824
72,exp9_step1_finetune_2024-07-30-12-39,1722343430.3048337,train_loss,35,0.0005354563472792506
73,exp9_step1_finetune_2024-07-30-12-39,1722343430.304875,train_acc,35,0.47549018263816833
74,exp9_step1_finetune_2024-07-30-12-39,1722343436.3443537,train_loss,36,0.0004651291819754988
75,exp9_step1_finetune_2024-07-30-12-39,1722343436.3443935,train_acc,36,0.5872548818588257
76,exp9_step1_finetune_2024-07-30-12-39,1722343442.3274426,train_loss,37,0.0005746284150518477
77,exp9_step1_finetune_2024-07-30-12-39,1722343442.3274956,train_acc,37,0.596218466758728
78,exp9_step1_finetune_2024-07-30-12-39,1722343498.9172308,valid_loss,1,0.0005026553408242762
